Version,Vector,BaseScore,ImpactSubscore,ExploitabilitySubscore,TemporalScore,EnvironmentalScore,Severity
2,AV:A/AC:H/Au:S/C:C/I:C/A:N/E:U/RL:OF/RC:C,5.9,9.21,2.53,4.4,,Medium
2,AV:A/AC:H/Au:S/C:C/I:C/A:P/E:U/RL:OF/RC:C,6.2,9.54,2.53,4.6,,Medium
2,AV:A/AC:H/Au:S/C:C/I:N/A:N,4.3,6.87,2.53,,,Medium
2,AV:A/AC:H/Au:S/C:C/I:N/A:N/E:H/RL:OF/RC:C,4.3,6.87,2.53,3.7,,Medium
2,AV:A/AC:H/Au:S/C:C/I:N/A:N/E:U/RL:OF/RC:C,4.3,6.87,2.53,3.2,,Medium
2,AV:A/AC:H/Au:S/C:C/I:P/A:N/E:U/RL:OF/RC:C,5,7.84,2.53,3.7,,Medium
2,AV:A/AC:H/Au:S/C:C/I:P/A:P/E:U/RL:OF/RC:C,5.5,8.55,2.53,4.1,,Medium
2,AV:A/AC:H/Au:S/C:N/I:C/A:C/E:U/RL:OF/RC:C,5.9,9.21,2.53,4.4,,Medium
2,AV:A/AC:H/Au:S/C:N/I:C/A:N/E:U/RL:OF/RC:C,4.3,6.87,2.53,3.2,,Medium
2,AV:A/AC:H/Au:S/C:N/I:N/A:C,4.3,6.87,2.53,,,Medium
2,AV:A/AC:H/Au:S/C:N/I:N/A:C/E:U/RL:OF/RC:C,4.3,6.87,2.53,3.2,,Medium
2,AV:A/AC:H/Au:S/C:N/I:N/A:P,1.4,2.86,2.53,,,Low
2,AV:A/AC:H/Au:S/C:N/I:N/A:P/E:U/RL:OF/RC:C,1.4,2.86,2.53,1,,Low
2,AV:A/AC:H/Au:S/C:N/I:P/A:C/E:U/RL:OF/RC:C,5,7.84,2.53,3.7,,Medium
2,AV:A/AC:H/Au:S/C:P/I:C/A:C/E:H/RL:ND/RC:ND,6.2,9.54,2.53,6.2,,Medium
2,AV:A/AC:H/Au:S/C:P/I:C/A:C/E:U/RL:OF/RC:C,6.2,9.54,2.53,4.6,,Medium
2,AV:A/AC:H/Au:S/C:P/I:C/A:N/E:U/RL:OF/RC:C,5,7.84,2.53,3.7,,Medium
2,AV:A/AC:H/Au:S/C:P/I:C/A:N/E:U/RL:U/RC:C,5,7.84,2.53,4.3,,Medium
2,AV:A/AC:H/Au:S/C:P/I:C/A:P,5.5,8.55,2.53,,,Medium
2,AV:A/AC:H/Au:S/C:P/I:C/A:P/E:F/RL:OF/RC:C,5.5,8.55,2.53,4.5,,Medium
2,AV:A/AC:H/Au:S/C:P/I:N/A:N,1.4,2.86,2.53,,,Low
2,AV:A/AC:H/Au:S/C:P/I:N/A:N/E:POC/RL:OF/RC:C,1.4,2.86,2.53,1.1,,Low
2,AV:A/AC:H/Au:S/C:P/I:N/A:N/E:U/RL:OF/RC:C,1.4,2.86,2.53,1,,Low
2,AV:A/AC:H/Au:S/C:P/I:N/A:N/E:U/RL:U/RC:UR,1.4,2.86,2.53,1.1,,Low
